Question ID,Question Text,Answer Type,User Answer (Text),Audio URL,Transcription (Audio Answers),Time to Answer (mm:ss),Answered At (Timestamp),Question Displayed At (Timestamp),Audio Question Duration (mm:ss)
section1_accomodation_Q1,What is your age?,Text,23,,,0:05,2026-01-25T18:32:58.641Z,2026-01-25T18:32:53.289Z,
section1_accomodation_Q2,Choose what best describes you:,Text,student,,,0:06,2026-01-25T18:33:04.883Z,2026-01-25T18:32:58.737Z,
section1_accomodation_Q3,What day is it today?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F40MiKvCaZTeYzMFw2W7zAAPoK013%2Fsection1_accomodation_Q3%2F1769366012078.webm?alt=media&token=d471d7c7-b99a-4486-8d9e-d324da986ae9,SUNDAY.,0:28,2026-01-25T18:33:33.638Z,2026-01-25T18:33:05.105Z,0:01
section1_accomodation_Q4,"Would you say you remember information better when you hear it or when you see it (for example, by reading or looking at images)?",Text,I remember better when I hear.,,,0:06,2026-01-25T18:33:39.810Z,2026-01-25T18:33:33.737Z,
section1_accomodation_Q5,Can you remember what the first question was? Write it down.,Text,What age am I,,,0:09,2026-01-25T18:33:49.695Z,2026-01-25T18:33:39.905Z,
section2_control_Q11,Which CPU part temporarily stores instructions and data?,Text,Cache,,,0:06,2026-01-25T18:35:57.565Z,2026-01-25T18:35:50.928Z,
section2_control_Q12,What is the Big O time complexity of binary search?,Text,O(logn),,,0:24,2026-01-25T18:36:21.682Z,2026-01-25T18:35:57.665Z,
section2_control_Q2,Which type of memory retains data even when power is off?,Text,ROM,,,0:40,2026-01-25T18:35:26.399Z,2026-01-25T18:34:45.922Z,
section2_control_Q6,Which OSI layer ensures reliable data delivery?,Text,Transport Layer,,,0:08,2026-01-25T18:35:34.898Z,2026-01-25T18:35:26.494Z,
section2_control_Q8,Which port number is used by HTTPS?,Text,443,,,0:15,2026-01-25T18:35:50.836Z,2026-01-25T18:35:35.000Z,
section2_standard_Q11,Which component controls data flow within the CPU?,Text,idk,,,0:06,2026-01-25T18:34:38.244Z,2026-01-25T18:34:31.983Z,
section2_standard_Q12,What is the Big O time complexity of linear search?,Text,O(N),,,0:07,2026-01-25T18:34:45.828Z,2026-01-25T18:34:38.336Z,
section2_standard_Q2,Which type of memory is volatile and temporarily stores data during execution?,Text,RAM,,,0:11,2026-01-25T18:34:01.504Z,2026-01-25T18:33:49.794Z,
section2_standard_Q6,Which layer of the OSI model handles routing and IP addressing?,Text,Networking layer/network layer,,,0:20,2026-01-25T18:34:21.978Z,2026-01-25T18:34:01.597Z,
section2_standard_Q8,Which port number is used by HTTP?,Text,8080,,,0:09,2026-01-25T18:34:31.890Z,2026-01-25T18:34:22.076Z,
section3_control_Q11,Which algorithm uses divide and conquer for sorting?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F40MiKvCaZTeYzMFw2W7zAAPoK013%2Fsection3_control_Q11%2F1769366384319.webm?alt=media&token=c8d6b19e-1a80-400e-b2cb-81af60d3fed5,Merge sort.,0:28,2026-01-25T18:39:45.623Z,2026-01-25T18:39:16.658Z,0:03
section3_control_Q3,Which type of software translates high-level code to machine code?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F40MiKvCaZTeYzMFw2W7zAAPoK013%2Fsection3_control_Q3%2F1769366285806.webm?alt=media&token=412ff538-8716-43a7-b648-4e161c3d5970,The compiler.,0:23,2026-01-25T18:38:07.383Z,2026-01-25T18:37:43.892Z,0:04
section3_control_Q4,What does the acronym L A N stand for?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F40MiKvCaZTeYzMFw2W7zAAPoK013%2Fsection3_control_Q4%2F1769366298830.webm?alt=media&token=9ca03fca-0ade-4da0-bca2-2f4dc38ef709,Local area network.,0:12,2026-01-25T18:38:19.843Z,2026-01-25T18:38:07.498Z,0:02
section3_control_Q6,Which OOP concept allows subclasses to reuse parent methods?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F40MiKvCaZTeYzMFw2W7zAAPoK013%2Fsection3_control_Q6%2F1769366337840.webm?alt=media&token=9e4aea14-0ac6-47e2-868d-63f69934257d,Inferitance.,0:39,2026-01-25T18:38:59.156Z,2026-01-25T18:38:19.959Z,0:04
section3_standard_Q3,Which software manages computer hardware?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F40MiKvCaZTeYzMFw2W7zAAPoK013%2Fsection3_standard_Q3%2F1769366198340.webm?alt=media&token=ca075807-497e-4ed6-a740-bda032b165ae,The kernel.,0:17,2026-01-25T18:36:39.665Z,2026-01-25T18:36:21.775Z,0:03
section3_standard_Q4,What does the acronym W A N stand for?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F40MiKvCaZTeYzMFw2W7zAAPoK013%2Fsection3_standard_Q4%2F1769366229128.webm?alt=media&token=23fffcde-5058-4866-9123-347e7ab4c9b5,Wide Area Network.,0:31,2026-01-25T18:37:10.896Z,2026-01-25T18:36:39.766Z,0:02
