Question ID,Question Text,Answer Type,User Answer (Text),Audio URL,Transcription (Audio Answers),Time to Answer (mm:ss),Answered At (Timestamp),Question Displayed At (Timestamp),Audio Question Duration (mm:ss)
section1_accomodation_Q1,What is your age?,Text,23,,,0:07,2026-01-04T15:32:57.350Z,2026-01-04T15:32:49.601Z,
section1_accomodation_Q2,Choose what best describes you:,Text,employee,,,0:08,2026-01-04T15:33:05.746Z,2026-01-04T15:32:57.447Z,
section1_accomodation_Q3,What day is it today?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FIiqIEVS8DYYdRwtxEKdYXTTdrb32%2Fsection1_accomodation_Q3%2F1767540808858.webm?alt=media&token=176ff7a3-06ff-4b44-81de-dd77e3b5cd81,"Today is 4th of the January, Sunday.",0:25,2026-01-04T15:33:31.251Z,2026-01-04T15:33:05.835Z,0:01
section1_accomodation_Q4,"Would you say you remember information better when you hear it or when you see it (for example, by reading or looking at images)?",Text,I remember better when I read.,,,0:17,2026-01-04T15:33:48.931Z,2026-01-04T15:33:31.360Z,
section1_accomodation_Q5,Can you remember what the first question was? Write it down.,Text,What is your age? ,,,0:14,2026-01-04T15:34:03.275Z,2026-01-04T15:33:49.014Z,
section2_control_Q11,Which CPU part temporarily stores instructions and data?,Text,"Cache memory, registers",,,0:03,2026-01-04T15:48:31.905Z,2026-01-04T15:48:28.630Z,
section2_control_Q2,Which type of memory retains data even when power is off?,Text,"ROM, SSD, HDD",,,0:31,2026-01-04T15:37:25.959Z,2026-01-04T15:36:54.199Z,
section2_control_Q6,Which OSI layer ensures reliable data delivery?,Text,Layer 4 - Transport,,,0:57,2026-01-04T15:38:23.743Z,2026-01-04T15:37:26.053Z,
section2_control_Q7,Which protocol secures web communication?,Text,HTTPS,,,0:26,2026-01-04T15:38:50.489Z,2026-01-04T15:38:23.856Z,
section2_control_Q8,Which port number is used by HTTPS?,Text,443,,,0:28,2026-01-04T15:39:18.759Z,2026-01-04T15:38:50.591Z,
section2_standard_Q2,Which type of memory is volatile and temporarily stores data during execution?,Text,"RAM, Cache",,,0:40,2026-01-04T15:34:44.357Z,2026-01-04T15:34:03.370Z,
section2_standard_Q6,Which layer of the OSI model handles routing and IP addressing?,Text,Layer 3 - Network,,,0:07,2026-01-04T15:35:58.126Z,2026-01-04T15:35:50.988Z,
section2_standard_Q7,Which protocol is used for secure file transfer over SSH?,Text,SFTP,,,0:32,2026-01-04T15:36:30.952Z,2026-01-04T15:35:58.216Z,
section2_standard_Q8,Which port number is used by HTTP?,Text,80,,,0:16,2026-01-04T15:36:47.694Z,2026-01-04T15:36:31.042Z,
section3_control_Q10,Which scheduling algorithm gives equal CPU time to all processes?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FIiqIEVS8DYYdRwtxEKdYXTTdrb32%2Fsection3_control_Q10%2F1767541633387.webm?alt=media&token=12c0d628-3ea2-4db9-800f-7aa908ffcb1b,"Round, Robin, scheduling.",0:49,2026-01-04T15:47:14.767Z,2026-01-04T15:46:25.035Z,0:04
section3_control_Q11,Which algorithm uses divide and conquer for sorting?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FIiqIEVS8DYYdRwtxEKdYXTTdrb32%2Fsection3_control_Q11%2F1767541693004.webm?alt=media&token=973cc208-344f-44e6-9825-546d921756bc,Recursion.,0:59,2026-01-04T15:48:14.162Z,2026-01-04T15:47:14.878Z,0:03
