Question ID,Question Text,Answer Type,User Answer (Text),Audio URL,Transcription (Audio Answers),Time to Answer (mm:ss),Answered At (Timestamp),Question Displayed At (Timestamp),Audio Question Duration (mm:ss),Correct,Wrong
section1_accomodation_Q1,What is your age?,Text,24,,,0:04,2026-01-26T09:23:17.035Z,2026-01-26T09:23:12.827Z,,,
section1_accomodation_Q2,Choose what best describes you:,Text,student,,,0:02,2026-01-26T09:23:20.054Z,2026-01-26T09:23:17.116Z,,,
section1_accomodation_Q3,What day is it today?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2Fy3oJxKfl3sdDTMEk9Gq64OtQRaF3%2Fsection1_accomodation_Q3%2F1769419409096.webm?alt=media&token=fc4080fc-3508-4e9d-861b-ea10966cdae2,Today it is Monday.,0:11,2026-01-26T09:23:31.240Z,2026-01-26T09:23:20.127Z,0:01,,
section1_accomodation_Q4,"Would you say you remember information better when you hear it or when you see it (for example, by reading or looking at images)?",Text,I remember better when I hear.,,,0:03,2026-01-26T09:23:35.138Z,2026-01-26T09:23:31.314Z,,,
section1_accomodation_Q5,Can you remember what the first question was? Write it down.,Text,What day it is,,,0:08,2026-01-26T09:23:44.575Z,2026-01-26T09:23:36.220Z,,,
section2_control_Q1,Which number system uses base 2?,Text,Binary,,,0:03,2026-01-26T09:24:28.083Z,2026-01-26T09:24:24.218Z,,,
section2_control_Q3,What does the acronym ISA stand for?,Text,idk,,,0:06,2026-01-26T09:24:34.678Z,2026-01-26T09:24:28.156Z,,,
section2_control_Q5,Which logic gate outputs the opposite of its input?,Text,Not,,,0:04,2026-01-26T09:24:39.086Z,2026-01-26T09:24:34.747Z,,,
section2_control_Q6,Which OSI layer ensures reliable data delivery?,Text,Transport,,,0:05,2026-01-26T09:24:44.258Z,2026-01-26T09:24:39.160Z,,,
section2_control_Q9,Which data structure uses nodes connected by edges?,Text,Graph,,,0:07,2026-01-26T09:24:51.904Z,2026-01-26T09:24:44.337Z,,,
section2_standard_Q1,How many bits are there in one byte?,Text,eight,,,0:04,2026-01-26T09:23:49.320Z,2026-01-26T09:23:44.659Z,,,
section2_standard_Q3,Which component performs arithmetic and logical operations?,Text,UAL,,,0:06,2026-01-26T09:23:56.122Z,2026-01-26T09:23:49.391Z,,,
section2_standard_Q5,Which logic gate outputs true only when all inputs are true?,Text,Or,,,0:14,2026-01-26T09:24:10.762Z,2026-01-26T09:23:56.207Z,,,
section2_standard_Q6,Which layer of the OSI model handles routing and IP addressing?,Text,Network Layer,,,0:06,2026-01-26T09:24:17.671Z,2026-01-26T09:24:10.834Z,,,
section2_standard_Q9,Which data structure uses hierarchical parent-child relationships?,Text,Tree,,,0:06,2026-01-26T09:24:24.150Z,2026-01-26T09:24:17.755Z,,,
section3_control_Q3,Which type of software translates high-level code to machine code?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2Fy3oJxKfl3sdDTMEk9Gq64OtQRaF3%2Fsection3_control_Q3%2F1769419557749.webm?alt=media&token=5c6a0690-6cf6-41fe-9565-2d34bbacf22a,"Bye, love.",0:09,2026-01-26T09:25:58.652Z,2026-01-26T09:25:49.413Z,0:04,,
section3_control_Q9,Which data structure operates on a Last In First Out basis?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2Fy3oJxKfl3sdDTMEk9Gq64OtQRaF3%2Fsection3_control_Q9%2F1769419576584.webm?alt=media&token=62e4a14f-c29d-42db-9b7c-635fd5bc1130,Cue.,0:09,2026-01-26T09:26:17.292Z,2026-01-26T09:26:07.503Z,0:03,,
section3_standard_Q11,Which sorting algorithm builds the final sorted array one item at a time?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2Fy3oJxKfl3sdDTMEk9Gq64OtQRaF3%2Fsection3_standard_Q11%2F1769419548393.webm?alt=media&token=32de0dab-e61c-4355-afa4-7cd7f6dac577,I don't know.,0:12,2026-01-26T09:25:49.327Z,2026-01-26T09:25:36.389Z,0:04,,
section3_standard_Q3,Which software manages computer hardware?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2Fy3oJxKfl3sdDTMEk9Gq64OtQRaF3%2Fsection3_standard_Q3%2F1769419500799.webm?alt=media&token=237f225a-9086-4478-89d1-75ad483a7010,Drivers.,0:10,2026-01-26T09:25:02.127Z,2026-01-26T09:24:51.987Z,0:02,,
section3_standard_Q5,Which programming language keyword is used to create an object in C++?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2Fy3oJxKfl3sdDTMEk9Gq64OtQRaF3%2Fsection3_standard_Q5%2F1769419515937.webm?alt=media&token=d7813196-3cfa-4aef-8241-9c5b80e1a5bc,I don't know.,0:15,2026-01-26T09:25:17.589Z,2026-01-26T09:25:02.202Z,0:05,,
section3_standard_Q9,Which data structure operates on a First In First Out basis?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2Fy3oJxKfl3sdDTMEk9Gq64OtQRaF3%2Fsection3_standard_Q9%2F1769419527767.webm?alt=media&token=e90d9501-9925-4a15-9e17-3ebead919142,We'll stick.,0:11,2026-01-26T09:25:28.853Z,2026-01-26T09:25:17.670Z,0:04,,
