Question ID,Question Text,Answer Type,User Answer (Text),Audio URL,Transcription (Audio Answers),Time to Answer (mm:ss),Answered At (Timestamp),Question Displayed At (Timestamp),Audio Question Duration (mm:ss),Correct,Wrong
section1_accomodation_Q1,What is your age?,Text,22,,,0:06,2026-01-25T18:48:46.906Z,2026-01-25T18:48:40.810Z,,,
section1_accomodation_Q3,What day is it today?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FNvk4S0IpxPdddgBF499DwZz6FEh1%2Fsection1_accomodation_Q3%2F1769367045677.webm?alt=media&token=fc9b233c-3cea-4d83-8b56-5d476a95161d,"Today, it's Sunday.",0:14,2026-01-25T18:50:48.059Z,2026-01-25T18:50:33.450Z,,,
section1_accomodation_Q4,"Would you say you remember information better when you hear it or when you see it (for example, by reading or looking at images)?",Text,I remember better when I read.,,,0:14,2026-01-25T18:51:02.665Z,2026-01-25T18:50:48.136Z,,,
section1_accomodation_Q5,Can you remember what the first question was? Write it down.,Text,What’s my age?,,,0:06,2026-01-25T18:51:09.197Z,2026-01-25T18:51:02.717Z,,,
section2_control_Q1,Which number system uses base 2?,Text,Binary,,,0:23,2026-01-25T18:52:13.802Z,2026-01-25T18:51:50.445Z,,✓,
section2_control_Q12,What is the Big O time complexity of binary search?,Text,O(n),,,0:14,2026-01-25T18:52:50.042Z,2026-01-25T18:52:36.028Z,,,✗
section2_control_Q4,Which device connects computers within the same network using MAC addresses?,Text,Router,,,0:05,2026-01-25T18:52:19.465Z,2026-01-25T18:52:13.865Z,,,✗
section2_control_Q5,Which logic gate outputs the opposite of its input?,Text,Not,,,0:04,2026-01-25T18:52:24.502Z,2026-01-25T18:52:19.523Z,,✓,
section2_control_Q6,Which OSI layer ensures reliable data delivery?,Text,Network layer,,,0:11,2026-01-25T18:52:35.972Z,2026-01-25T18:52:24.558Z,,,✗
section2_standard_Q1,How many bits are there in one byte?,Text,8,,,0:05,2026-01-25T18:51:15.056Z,2026-01-25T18:51:09.245Z,,✓,
section2_standard_Q12,What is the Big O time complexity of linear search?,Text,N,,,0:06,2026-01-25T18:51:50.387Z,2026-01-25T18:51:43.985Z,,✓,
section2_standard_Q4,Which device forwards packets based on IP addresses?,Text,Router,,,0:05,2026-01-25T18:51:20.631Z,2026-01-25T18:51:15.115Z,,✓,
section2_standard_Q5,Which logic gate outputs true only when all inputs are true?,Text,And,,,0:05,2026-01-25T18:51:25.845Z,2026-01-25T18:51:20.690Z,,✓,
section2_standard_Q6,Which layer of the OSI model handles routing and IP addressing?,Text,Transport layer,,,0:05,2026-01-25T18:51:43.925Z,2026-01-25T18:51:38.621Z,,,✗
section3_control_Q5,Which keyword is used to destroy an object in C++?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FNvk4S0IpxPdddgBF499DwZz6FEh1%2Fsection3_control_Q5%2F1769367303610.webm?alt=media&token=836101f3-3a09-4941-a40e-f81bdff64173,Destructor.,0:36,2026-01-25T18:55:05.460Z,2026-01-25T18:54:29.378Z,0:03,,✗
section3_control_Q6,Which OOP concept allows subclasses to reuse parent methods?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FNvk4S0IpxPdddgBF499DwZz6FEh1%2Fsection3_control_Q6%2F1769367318711.webm?alt=media&token=f4a39a6c-bd94-432c-a5a8-8c35578dc4f1,Overriding.,0:14,2026-01-25T18:55:20.442Z,2026-01-25T18:55:05.522Z,0:04,,✗
section3_control_Q7,Which OOP concept allows one interface to be used for different data types?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FNvk4S0IpxPdddgBF499DwZz6FEh1%2Fsection3_control_Q7%2F1769367332245.webm?alt=media&token=098ea29c-2694-488c-91e4-be1399739ca2,"Inheritance,",0:13,2026-01-25T18:55:33.960Z,2026-01-25T18:55:20.511Z,0:04,,✗
section3_control_Q9,Which data structure operates on a Last In First Out basis?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FNvk4S0IpxPdddgBF499DwZz6FEh1%2Fsection3_control_Q9%2F1769367360901.webm?alt=media&token=7932956e-4c79-4d1d-9956-36b4b39283b4,Stack.,0:27,2026-01-25T18:56:01.724Z,2026-01-25T18:55:34.028Z,0:04,✓,
section3_standard_Q5,Which programming language keyword is used to create an object in C++?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FNvk4S0IpxPdddgBF499DwZz6FEh1%2Fsection3_standard_Q5%2F1769367195738.webm?alt=media&token=068f8f64-e7f5-4b62-9888-b7f43c92c675,New.,0:16,2026-01-25T18:53:17.755Z,2026-01-25T18:53:01.691Z,0:05,✓,
section3_standard_Q6,Which OOP concept allows the same method name with different parameters?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FNvk4S0IpxPdddgBF499DwZz6FEh1%2Fsection3_standard_Q6%2F1769367232409.webm?alt=media&token=9354d8b6-1883-49ee-8eed-85427d3262cc,Overloading.,0:36,2026-01-25T18:53:54.282Z,2026-01-25T18:53:17.819Z,0:04,✓,
section3_standard_Q7,Which OOP concept hides implementation details from users?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FNvk4S0IpxPdddgBF499DwZz6FEh1%2Fsection3_standard_Q7%2F1769367250608.webm?alt=media&token=14e7aa71-2d00-45db-b1b5-5d1683ecd460,Abstractization.,0:17,2026-01-25T18:54:12.161Z,2026-01-25T18:53:54.342Z,0:04,,✗
section3_standard_Q9,Which data structure operates on a First In First Out basis?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FNvk4S0IpxPdddgBF499DwZz6FEh1%2Fsection3_standard_Q9%2F1769367262665.webm?alt=media&token=1274710d-c273-4551-86d6-abe178f0a422,Cue.,0:11,2026-01-25T18:54:24.214Z,2026-01-25T18:54:12.230Z,0:04,✓,
