Question ID,Question Text,Answer Type,User Answer (Text),Audio URL,Transcription (Audio Answers),Time to Answer (mm:ss),Answered At (Timestamp),Question Displayed At (Timestamp),Audio Question Duration (mm:ss),Correct,Wrong
section1_accomodation_Q1,What is your age?,Text,22,,,0:04,2026-01-05T14:50:45.022Z,2026-01-05T14:50:40.106Z,,,
section1_accomodation_Q2,Choose what best describes you:,Text,student,,,0:05,2026-01-05T14:50:50.089Z,2026-01-05T14:50:45.079Z,,,
section1_accomodation_Q3,What day is it today?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FD17ojtCGztVxasDNXMBYujIEp6T2%2Fsection1_accomodation_Q3%2F1767624729064.webm?alt=media&token=31ff2183-bc6c-4dcc-9586-5ad33ac59d5a,"Today, it's Monday.",1:20,2026-01-05T14:52:10.319Z,2026-01-05T14:50:50.137Z,0:01,,
section1_accomodation_Q4,"Would you say you remember information better when you hear it or when you see it (for example, by reading or looking at images)?",Text,I remember better when I read.,,,0:25,2026-01-05T14:52:35.753Z,2026-01-05T14:52:10.377Z,,,
section1_accomodation_Q5,Can you remember what the first question was? Write it down.,Text,The first question was 'What is your age?',,,0:15,2026-01-05T14:52:51.670Z,2026-01-05T14:52:35.804Z,,,
section2_control_Q10,Which command in SQL removes all table data but keeps the structure?,Text,DELETE,,,0:06,2026-01-05T14:54:39.304Z,2026-01-05T14:54:32.931Z,,,x
section2_control_Q12,What is the Big O time complexity of binary search?,Text,n*log(n),,,0:08,2026-01-05T14:54:47.701Z,2026-01-05T14:54:39.356Z,,,x
section2_control_Q4,Which device connects computers within the same network using MAC addresses?,Text,Router,,,0:09,2026-01-05T14:54:23.302Z,2026-01-05T14:54:13.785Z,,,x
section2_control_Q5,Which logic gate outputs the opposite of its input?,Text,NOT,,,0:04,2026-01-05T14:54:27.370Z,2026-01-05T14:54:23.352Z,,x,
section2_control_Q9,Which data structure uses nodes connected by edges?,Text,Graph,,,0:05,2026-01-05T14:54:32.874Z,2026-01-05T14:54:27.426Z,,x,
section2_standard_Q10,Which SQL clause filters query results?,Text,FILTER,,,0:06,2026-01-05T14:54:01.618Z,2026-01-05T14:53:55.033Z,,,x
section2_standard_Q12,What is the Big O time complexity of linear search?,Text,n^2,,,0:12,2026-01-05T14:54:13.733Z,2026-01-05T14:54:01.672Z,,,x
