Question ID,Question Text,Answer Type,User Answer (Text),Audio URL,Transcription (Audio Answers),Time to Answer (mm:ss),Answered At (Timestamp),Question Displayed At (Timestamp),Audio Question Duration (mm:ss),Correct,Wrong
section1_accomodation_Q1,What is your age?,Text,21,,,0:04,2026-01-25T19:30:40.255Z,2026-01-25T19:30:35.792Z,,,
section1_accomodation_Q2,Choose what best describes you:,Text,student,,,0:02,2026-01-25T19:30:42.772Z,2026-01-25T19:30:40.330Z,,,
section1_accomodation_Q3,What day is it today?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FuUx5MPncXHXkLDXkejpBQMgnhIS2%2Fsection1_accomodation_Q3%2F1769369458035.webm?alt=media&token=f2051b0c-6f64-4943-b61e-c208b646d4b3,Sunday.,0:16,2026-01-25T19:30:59.776Z,2026-01-25T19:30:42.840Z,0:01,,
section1_accomodation_Q4,"Would you say you remember information better when you hear it or when you see it (for example, by reading or looking at images)?",Text,I remember better when I read.,,,0:07,2026-01-25T19:31:07.080Z,2026-01-25T19:30:59.852Z,,,
section1_accomodation_Q5,Can you remember what the first question was? Write it down.,Text,What is my age,,,0:05,2026-01-25T19:31:12.539Z,2026-01-25T19:31:07.147Z,,,
section2_control_Q1,Which number system uses base 2?,Text,binary,,,0:09,2026-01-25T19:32:23.122Z,2026-01-25T19:32:14.120Z,,✓,
section2_control_Q10,Which command in SQL removes all table data but keeps the structure?,Text,DROP,,,0:04,2026-01-25T19:32:40.304Z,2026-01-25T19:32:35.577Z,,,✗
section2_control_Q11,Which CPU part temporarily stores instructions and data?,Text,Cache,,,0:07,2026-01-25T19:32:47.838Z,2026-01-25T19:32:40.370Z,,✓,
section2_control_Q5,Which logic gate outputs the opposite of its input?,Text,not,,,0:06,2026-01-25T19:32:29.622Z,2026-01-25T19:32:23.192Z,,✓,
section2_control_Q8,Which port number is used by HTTPS?,Text,443,,,0:05,2026-01-25T19:32:35.510Z,2026-01-25T19:32:29.691Z,,✓,
section2_standard_Q1,How many bits are there in one byte?,Text,8,,,0:04,2026-01-25T19:31:16.655Z,2026-01-25T19:31:12.613Z,,✓,
section2_standard_Q10,Which SQL clause filters query results?,Text,Filter,,,0:06,2026-01-25T19:31:53.076Z,2026-01-25T19:31:46.340Z,,,✗
section2_standard_Q5,Which logic gate outputs true only when all inputs are true?,Text,Or,,,0:11,2026-01-25T19:31:27.855Z,2026-01-25T19:31:16.721Z,,,✗
section2_standard_Q8,Which port number is used by HTTP?,Text,80,,,0:18,2026-01-25T19:31:46.272Z,2026-01-25T19:31:27.923Z,,✓,
section3_control_Q11,Which algorithm uses divide and conquer for sorting?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FuUx5MPncXHXkLDXkejpBQMgnhIS2%2Fsection3_control_Q11%2F1769369709008.webm?alt=media&token=fffd9298-dccb-4bb8-94cb-f5d533dacc71,March sort.,0:18,2026-01-25T19:35:10.146Z,2026-01-25T19:34:51.607Z,0:03,,✗
section3_control_Q2,What does the acronym V P N stand for?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FuUx5MPncXHXkLDXkejpBQMgnhIS2%2Fsection3_control_Q2%2F1769369663363.webm?alt=media&token=82d3045b-29b8-4ab8-a889-a78bef10f667,All private network.,0:10,2026-01-25T19:34:25.013Z,2026-01-25T19:34:14.711Z,0:02,,✗
section3_control_Q3,Which type of software translates high-level code to machine code?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FuUx5MPncXHXkLDXkejpBQMgnhIS2%2Fsection3_control_Q3%2F1769369678608.webm?alt=media&token=502e8da2-3ff1-4a44-bc30-5e31e0adb6fc,The compiler.,0:14,2026-01-25T19:34:39.936Z,2026-01-25T19:34:25.076Z,0:04,,✓,
section3_standard_Q12,Which algorithm finds the shortest path in a weighted graph?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FuUx5MPncXHXkLDXkejpBQMgnhIS2%2Fsection3_standard_Q12%2F1769369652738.webm?alt=media&token=365af8f0-115c-4d6d-8b3c-502c24cfce86,The Dijkstra algorithm.,0:32,2026-01-25T19:34:14.632Z,2026-01-25T19:33:42.190Z,0:03,,✓,
section3_standard_Q3,Which software manages computer hardware?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FuUx5MPncXHXkLDXkejpBQMgnhIS2%2Fsection3_standard_Q3%2F1769369599280.webm?alt=media&token=cadb9262-4dae-468e-ad96-dadd3d84f180,The Kernels.,0:17,2026-01-25T19:33:20.678Z,2026-01-25T19:33:03.007Z,0:02,,✗
