Question ID,Question Text,Answer Type,User Answer (Text),Audio URL,Transcription (Audio Answers),Time to Answer (mm:ss),Answered At (Timestamp),Question Displayed At (Timestamp),Audio Question Duration (mm:ss)
section1_accomodation_Q1,What is your age?,Text,24,,,0:22,2026-01-04T10:26:09.957Z,2026-01-04T10:25:47.298Z,
section1_accomodation_Q2,Choose what best describes you:,Text,working student,,,0:07,2026-01-04T10:26:18.155Z,2026-01-04T10:26:10.170Z,
section1_accomodation_Q3,What day is it today?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F3SZBa8bz71cc3n0GqPIe0Cp5EC13%2Fsection1_accomodation_Q3%2F1767522411688.webm?alt=media&token=4f7bab90-0f85-4443-81d0-f427e7842ddc,FUNDY.,0:35,2026-01-04T10:26:54.085Z,2026-01-04T10:26:18.371Z,0:02
section1_accomodation_Q4,"Would you say you remember information better when you hear it or when you see it (for example, by reading or looking at images)?",Text,I remember better when I read.,,,0:10,2026-01-04T10:27:04.556Z,2026-01-04T10:26:54.196Z,
section1_accomodation_Q5,Can you remember what the first question was? Write it down.,Text,"Yes, my age ",,,0:10,2026-01-04T10:27:15.080Z,2026-01-04T10:27:04.674Z,
section2_control_Q10,Which command in SQL removes all table data but keeps the structure?,Text,Truncate,,,0:12,2026-01-04T10:28:44.465Z,2026-01-04T10:28:31.664Z,
section2_control_Q11,Which CPU part temporarily stores instructions and data?,Text,Yes :)) ,,,0:08,2026-01-04T10:28:53.651Z,2026-01-04T10:28:44.701Z,
section2_control_Q2,Which type of memory retains data even when power is off?,Text,ROM,,,0:08,2026-01-04T10:28:17.088Z,2026-01-04T10:28:08.604Z,
section2_control_Q5,Which logic gate outputs the opposite of its input?,Text,NOR,,,0:09,2026-01-04T10:28:26.611Z,2026-01-04T10:28:17.300Z,
section2_control_Q8,Which port number is used by HTTPS?,Text,443,,,0:04,2026-01-04T10:28:31.560Z,2026-01-04T10:28:26.728Z,
section2_standard_Q10,Which SQL clause filters query results?,Text,Where,,,0:08,2026-01-04T10:27:53.437Z,2026-01-04T10:27:44.573Z,
section2_standard_Q11,Which component controls data flow within the CPU?,Text,I don't know :)) ,,,0:14,2026-01-04T10:28:08.475Z,2026-01-04T10:27:53.534Z,
section2_standard_Q2,Which type of memory is volatile and temporarily stores data during execution?,Text,RAM,,,0:11,2026-01-04T10:27:26.775Z,2026-01-04T10:27:15.340Z,
section2_standard_Q5,Which logic gate outputs true only when all inputs are true?,Text,AND,,,0:11,2026-01-04T10:27:37.958Z,2026-01-04T10:27:26.888Z,
section2_standard_Q8,Which port number is used by HTTP?,Text,80,,,0:06,2026-01-04T10:27:44.459Z,2026-01-04T10:27:38.070Z,
section3_control_Q12,Which algorithm uses a greedy approach to find the minimum spanning tree?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F3SZBa8bz71cc3n0GqPIe0Cp5EC13%2Fsection3_control_Q12%2F1767522650101.webm?alt=media&token=d6c4998e-7019-4797-a204-9dffbc54c3c5,Gritty algorithm.,0:28,2026-01-04T10:30:51.422Z,2026-01-04T10:30:23.183Z,0:05
section3_standard_Q1,What does the acronym D R A M stand for?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F3SZBa8bz71cc3n0GqPIe0Cp5EC13%2Fsection3_standard_Q1%2F1767522547523.webm?alt=media&token=90cdb714-f89f-490a-b97f-5da725afba9c,I don't know the questions.,0:15,2026-01-04T10:29:09.124Z,2026-01-04T10:28:53.872Z,0:03
section3_standard_Q10,Which scheduling algorithm executes the shortest job next?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F3SZBa8bz71cc3n0GqPIe0Cp5EC13%2Fsection3_standard_Q10%2F1767522596387.webm?alt=media&token=42744cc1-3a6c-42a9-8790-8bd7c50f9f08,"NIA, V4.",0:12,2026-01-04T10:29:57.826Z,2026-01-04T10:29:45.130Z,0:04
section3_standard_Q12,Which algorithm finds the shortest path in a weighted graph?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F3SZBa8bz71cc3n0GqPIe0Cp5EC13%2Fsection3_standard_Q12%2F1767522606824.webm?alt=media&token=7c23212d-1e4d-4ddc-8b0e-63fadeba91ac,I'm back for this one.,0:09,2026-01-04T10:30:08.078Z,2026-01-04T10:29:58.260Z,0:04
section3_standard_Q2,What does the acronym M A C stand for?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F3SZBa8bz71cc3n0GqPIe0Cp5EC13%2Fsection3_standard_Q2%2F1767522563430.webm?alt=media&token=de5bb52c-0902-4bc6-8a5d-304839cc93cd,Man just all the code.,0:15,2026-01-04T10:29:24.845Z,2026-01-04T10:29:09.419Z,0:03
section3_standard_Q7,Which OOP concept hides implementation details from users?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F3SZBa8bz71cc3n0GqPIe0Cp5EC13%2Fsection3_standard_Q7%2F1767522582608.webm?alt=media&token=60fc98b3-9b0e-41b3-bda9-b9848658a303,Promote us.,0:18,2026-01-04T10:29:43.644Z,2026-01-04T10:29:24.993Z,0:04
