Question ID,Question Text,Answer Type,User Answer (Text),Audio URL,Transcription (Audio Answers),Time to Answer (mm:ss),Answered At (Timestamp),Question Displayed At (Timestamp),Audio Question Duration (mm:ss),Correct,Wrong
section1_accomodation_Q1,What is your age?,Text,23,,,0:13,2026-01-04T13:03:10.852Z,2026-01-04T13:02:57.721Z,,,
section1_accomodation_Q2,Choose what best describes you:,Text,student,,,0:14,2026-01-04T13:03:25.366Z,2026-01-04T13:03:11.018Z,,,
section1_accomodation_Q3,What day is it today?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F7fRvTWeoKDPE5ZqfcBwpWY3qwpl1%2Fsection1_accomodation_Q3%2F1767531835594.webm?alt=media&token=c2f331a1-405f-4927-86b7-c17b80ed786a,4th of January.,0:31,2026-01-04T13:03:57.100Z,2026-01-04T13:03:25.474Z,0:01,,
section1_accomodation_Q4,"Would you say you remember information better when you hear it or when you see it (for example, by reading or looking at images)?",Text,I remember better when I read.,,,0:11,2026-01-04T13:04:08.419Z,2026-01-04T13:03:57.220Z,,,
section1_accomodation_Q5,Can you remember what the first question was? Write it down.,Text,"""What is your age?""",,,0:18,2026-01-04T13:04:26.739Z,2026-01-04T13:04:08.542Z,,,
section2_control_Q1,Which number system uses base 2?,Text,Binary system,,,0:15,2026-01-04T13:06:55.599Z,2026-01-04T13:06:39.693Z,,✓,
section2_control_Q11,Which CPU part temporarily stores instructions and data?,Text,Control Unit,,,0:34,2026-01-04T13:10:09.357Z,2026-01-04T13:09:34.787Z,,,✗
section2_control_Q12,What is the Big O time complexity of binary search?,Text,O(log N),,,0:12,2026-01-04T13:10:22.050Z,2026-01-04T13:10:09.576Z,,✓,
section2_control_Q2,Which type of memory retains data even when power is off?,Text,"The storage memory, e.g. hard drive, SSD, etc",,,1:16,2026-01-04T13:08:12.405Z,2026-01-04T13:06:55.716Z,✓,,
section2_control_Q8,Which port number is used by HTTPS?,Text,443,,,0:30,2026-01-04T13:08:43.466Z,2026-01-04T13:08:12.532Z,,✓,
section2_standard_Q1,How many bits are there in one byte?,Text,8,,,0:10,2026-01-04T13:04:37.731Z,2026-01-04T13:04:26.839Z,,✓,
section2_standard_Q11,Which component controls data flow within the CPU?,Text,Control unot,,,1:05,2026-01-04T13:06:16.115Z,2026-01-04T13:05:10.300Z,,✓,
section2_standard_Q12,What is the Big O time complexity of linear search?,Text,O(N),,,0:23,2026-01-04T13:06:39.318Z,2026-01-04T13:06:16.250Z,,✓,
section2_standard_Q2,Which type of memory is volatile and temporarily stores data during execution?,Text,RAM (random access memory),,,0:24,2026-01-04T13:05:01.951Z,2026-01-04T13:04:37.940Z,,✓,
section2_standard_Q8,Which port number is used by HTTP?,Text,80,,,0:05,2026-01-04T13:09:25.995Z,2026-01-04T13:09:20.012Z,,✓,
section3_control_Q11,Which algorithm uses divide and conquer for sorting?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F7fRvTWeoKDPE5ZqfcBwpWY3qwpl1%2Fsection3_control_Q11%2F1767532639783.webm?alt=media&token=4496a36f-ea71-4143-833c-fc343a296a2a,"March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March, March",0:45,2026-01-04T13:17:20.894Z,2026-01-04T13:16:35.096Z,0:03,,✗
section3_control_Q4,What does the acronym L A N stand for?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F7fRvTWeoKDPE5ZqfcBwpWY3qwpl1%2Fsection3_control_Q4%2F1767532462640.webm?alt=media&token=1a9742d3-00a5-4c33-ac76-983a8e0636e3,Local area network.,0:08,2026-01-04T13:14:23.862Z,2026-01-04T13:14:14.960Z,0:02,✓,
section3_control_Q6,Which OOP concept allows subclasses to reuse parent methods?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F7fRvTWeoKDPE5ZqfcBwpWY3qwpl1%2Fsection3_control_Q6%2F1767532491007.webm?alt=media&token=e67f67f4-faa1-45a1-aefc-f4daf0e65de4,Inheritance.,0:27,2026-01-04T13:14:51.798Z,2026-01-04T13:14:23.992Z,0:03,✓,
section3_control_Q7,Which OOP concept allows one interface to be used for different data types?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F7fRvTWeoKDPE5ZqfcBwpWY3qwpl1%2Fsection3_control_Q7%2F1767532568634.webm?alt=media&token=8ffaeb4c-a477-4677-a527-ced5a1f63c06,Do polymorphism.,1:18,2026-01-04T13:16:10.052Z,2026-01-04T13:14:51.902Z,0:04,✓,
section3_control_Q9,Which data structure operates on a Last In First Out basis?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F7fRvTWeoKDPE5ZqfcBwpWY3qwpl1%2Fsection3_control_Q9%2F1767532593675.webm?alt=media&token=839c5ed4-05e4-4e27-b0d2-7ec8fbd6c266,The stick.,0:24,2026-01-04T13:16:34.929Z,2026-01-04T13:16:10.173Z,0:03,,✗
section3_standard_Q11,Which sorting algorithm builds the final sorted array one item at a time?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F7fRvTWeoKDPE5ZqfcBwpWY3qwpl1%2Fsection3_standard_Q11%2F1767532453244.webm?alt=media&token=969a129d-c29d-4091-bc4a-c38187f98222,Hip sort.,1:00,2026-01-04T13:14:14.812Z,2026-01-04T13:13:14.776Z,0:04,,✗
