Question ID,Question Text,Answer Type,User Answer (Text),Audio URL,Transcription (Audio Answers),Time to Answer (mm:ss),Answered At (Timestamp),Question Displayed At (Timestamp),Audio Question Duration (mm:ss)
section1_accomodation_Q1,What is your age?,Text,22,,,0:06,2026-01-05T16:43:02.736Z,2026-01-05T16:42:56.238Z,
section1_accomodation_Q2,Choose what best describes you:,Text,student,,,0:07,2026-01-05T16:43:10.487Z,2026-01-05T16:43:02.800Z,
section1_accomodation_Q3,What day is it today?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FdwtLwhIgAyQAfqgq6BGgRYDqwdi2%2Fsection1_accomodation_Q3%2F1767631563490.webm?alt=media&token=0cbb8b1a-11b8-4852-bf65-fa8f0e57b5d0,Today it's Monday.,2:54,2026-01-05T16:46:04.782Z,2026-01-05T16:43:10.552Z,0:02
section1_accomodation_Q4,"Would you say you remember information better when you hear it or when you see it (for example, by reading or looking at images)?",Text,I remember better when I hear.,,,0:17,2026-01-05T16:46:22.099Z,2026-01-05T16:46:04.846Z,
section1_accomodation_Q5,Can you remember what the first question was? Write it down.,Text,hmmm,,,0:48,2026-01-05T16:47:10.756Z,2026-01-05T16:46:22.159Z,
section2_control_Q11,Which CPU part temporarily stores instructions and data?,Text,Registers,,,0:22,2026-01-05T16:51:52.955Z,2026-01-05T16:51:30.526Z,
section2_control_Q12,What is the Big O time complexity of binary search?,Text,O(log n),,,0:22,2026-01-05T16:52:15.768Z,2026-01-05T16:51:53.015Z,
section2_control_Q2,Which type of memory retains data even when power is off?,Text,Non-volatile memory,,,0:20,2026-01-05T16:50:44.977Z,2026-01-05T16:50:24.641Z,
section2_control_Q4,Which device connects computers within the same network using MAC addresses?,Text,A switch,,,0:23,2026-01-05T16:51:08.876Z,2026-01-05T16:50:45.036Z,
section2_control_Q9,Which data structure uses nodes connected by edges?,Text,A graph,,,0:21,2026-01-05T16:51:30.469Z,2026-01-05T16:51:08.935Z,
section2_standard_Q11,Which component controls data flow within the CPU?,Text,Control Unit,,,0:27,2026-01-05T16:50:00.413Z,2026-01-05T16:49:32.926Z,
section2_standard_Q12,What is the Big O time complexity of linear search?,Text,O(n),,,0:24,2026-01-05T16:50:24.583Z,2026-01-05T16:50:00.469Z,
section2_standard_Q2,Which type of memory is volatile and temporarily stores data during execution?,Text,it is temporary,,,0:36,2026-01-05T16:47:47.742Z,2026-01-05T16:47:10.820Z,
section2_standard_Q4,Which device forwards packets based on IP addresses?,Text,router,,,1:12,2026-01-05T16:49:00.018Z,2026-01-05T16:47:47.798Z,
section2_standard_Q9,Which data structure uses hierarchical parent-child relationships?,Text,A tree,,,0:32,2026-01-05T16:49:32.867Z,2026-01-05T16:49:00.081Z,
section3_control_Q11,Which algorithm uses divide and conquer for sorting?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2FdwtLwhIgAyQAfqgq6BGgRYDqwdi2%2Fsection3_control_Q11%2F1767632286715.webm?alt=media&token=ec308792-a37c-440b-b26d-5c4cd86d4b52,Quick sort.,0:26,2026-01-05T16:58:07.554Z,2026-01-05T16:57:40.862Z,0:03
